	text	labels_0	labels_1	labels_2	labels_3	labels_4	labels_5	labels_6	labels_7	labels_8	labels_9	labels_10	labels_11	labels_12	labels_13	labels_14	labels_15
411	Das war leider das letzte Mal!	rg															
412	Das war wirklich schade und hier stimmt das Preis-Leistungs-Verhältnis gar nicht.	('PRICE', 'NEGATIVE', 'Preis-Leistungs-Verhältnis')															
413	Das war wirklich schade und hier stimmt das Preis-Leistungs-Verhältnis gar nicht.	rp															
414	Dazu Pommes und ein Salat mit friner Sauce.	('FOOD', 'POSITIVE', 'Sauce')															
415	Dazu Pommes und ein Salat mit friner Sauce.	fq															
416	Definitiv überteuert und in dem Rahmen kein Besuch wert.	('PRICE', 'NEGATIVE', 'NULL')															
417	Definitiv überteuert und in dem Rahmen kein Besuch wert.	rp															
418	Delikat angerichtet, tolle Performance beim Servieren.	('FOOD', 'POSITIVE', 'NULL')	('SERVICE', 'POSITIVE', 'NULL')														
419	Delikat angerichtet, tolle Performance beim Servieren.	fs	sg														
420	Dementsprechend voll ist es.	('AMBIENCE', 'NEGATIVE', 'NULL')															
421	Dementsprechend voll ist es.	ag															
422	Denn aus dem Grundbuffet der Karte zaubert die Küche leckere Köstlichkeiten mit diversen Soßen und Beilagen.	('FOOD', 'POSITIVE', 'Köstlichkeiten')	('FOOD', 'POSITIVE', 'Soßen')	('FOOD', 'POSITIVE', 'Beilagen')													
423	Denn aus dem Grundbuffet der Karte zaubert die Küche leckere Köstlichkeiten mit diversen Soßen und Beilagen.	fq	fs	fs													
424	Dennoch erinnerte sie mehr an eine fertig Pizza als an eine Pizza, wo der Teich frisch zubereitet worden ist.	('FOOD', 'NEGATIVE', 'NULL')															
425	Dennoch erinnerte sie mehr an eine fertig Pizza als an eine Pizza, wo der Teich frisch zubereitet worden ist.	fq															
426	Dennoch war die Akustik besser als ich vermutet hätte.	('AMBIENCE', 'POSITIVE', 'Akustik')															
427	Dennoch war die Akustik besser als ich vermutet hätte.	ag															
428	Der (offene) Primitivo war ordentlich, wenn auch kein Spitzenwein (kann man bei 8 Euro fürs Glas auch nicht verlangen).	('FOOD', 'NEUTRAL', 'Primitivo')															
429	Der (offene) Primitivo war ordentlich, wenn auch kein Spitzenwein (kann man bei 8 Euro fürs Glas auch nicht verlangen).	fq															
430	Der Auslieferungsfahrer war sehr nett und hat sich entschuldigt.	('SERVICE', 'POSITIVE', 'Auslieferungsfahrer')															
431	Der Auslieferungsfahrer war sehr nett und hat sich entschuldigt.	sg															
432	Der Banker würde triple A vergeben.	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
433	Der Banker würde triple A vergeben.	rg															
434	Der Blick von der Dachterasse ist der Wahnsinn.	('AMBIENCE', 'POSITIVE', 'Blick von der Dachterasse')															
435	Der Blick von der Dachterasse ist der Wahnsinn.	ag															
436	Der Brunch ist sehr empfehlenswert, sehr gutes Essen in angenehmer Atmosphäre bei sehr gutem Service.	('FOOD', 'POSITIVE', 'Brunch')	('FOOD', 'POSITIVE', 'Essen')	('AMBIENCE', 'POSITIVE', 'Atmosphäre')	('SERVICE', 'POSITIVE', 'Service')												
437	Der Brunch ist sehr empfehlenswert, sehr gutes Essen in angenehmer Atmosphäre bei sehr gutem Service.	fq	fq	ag	sg												
438	Der Chef konnte nicht gefunden werden.	('SERVICE', 'NEGATIVE', 'Chef')															
439	Der Chef konnte nicht gefunden werden.	sg															
440	Der Empfang war nett, der Tisch im hinteren Bereich des aus Brettern gebauten Restaurants.	('SERVICE', 'POSITIVE', 'Empfang')															
441	Der Empfang war nett, der Tisch im hinteren Bereich des aus Brettern gebauten Restaurants.	sg															
442	Der Fisch war sehr durch, welches vom Kellner ohne Reaktion registriert wurde!	('SERVICE', 'NEGATIVE', 'Fisch')	('SERVICE', 'NEGATIVE', 'Kellner')														
443	Der Fisch war sehr durch, welches vom Kellner ohne Reaktion registriert wurde!	sg	sg														
444	Der Hähnchen Döner wird durch zwei Soßen, Gemüse, Salat, Fetakäse verfeinert und durch einen spitzer Zitrone abgerundet.	('FOOD', 'POSITIVE', 'Hähnchen Döner')	('FOOD', 'POSITIVE', 'Soßen')	('FOOD', 'POSITIVE', 'Gemüse')	('FOOD', 'POSITIVE', 'Salat')	('FOOD', 'POSITIVE', 'Fetakäse')	('FOOD', 'POSITIVE', 'Zitrone')										
445	Der Hähnchen Döner wird durch zwei Soßen, Gemüse, Salat, Fetakäse verfeinert und durch einen spitzer Zitrone abgerundet.	fq	fq	fq	fq	fq	fq										
446	Der Kartoffelsalat schmeckte wie aus dem Eimer und war eiskalt.	('FOOD', 'NEGATIVE', 'Kartoffelsalat')															
447	Der Kartoffelsalat schmeckte wie aus dem Eimer und war eiskalt.	fq															
448	Der Kartoffelsalat war nicht mehr so gut.	('FOOD', 'NEGATIVE', 'Kartoffelsalat')															
449	Der Kartoffelsalat war nicht mehr so gut.	fq															
450	Der Kellner läuft planlos durch die Gegend und wirkt überfordert.	('SERVICE', 'NEGATIVE', 'Kellner')															
451	Der Kellner läuft planlos durch die Gegend und wirkt überfordert.	sg															
452	Der Kellner war unhöflich und völlig unfreundlich.	('SERVICE', 'NEGATIVE', 'Kellner')															
453	Der Kellner war unhöflich und völlig unfreundlich.	sg															
454	Der Kunde von unserer Firma war auch negativ gestimmt und weitere Kundengespräche werden nicht mehr dort durchgeführt.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
455	Der Kunde von unserer Firma war auch negativ gestimmt und weitere Kundengespräche werden nicht mehr dort durchgeführt.	rg															
456	Der Käse war in Ordnung, kam aber in Würfeln, so wie Fingerfood (eher ungewöhnlich für ein Frühstück).	('FOOD', 'NEGATIVE', 'Käse')															
457	Der Käse war in Ordnung, kam aber in Würfeln, so wie Fingerfood (eher ungewöhnlich für ein Frühstück).	fq															
458	Der Käse war meiner Meinung nach kein Bergkäse, aber egal.	('FOOD', 'NEGATIVE', 'Käse')															
459	Der Käse war meiner Meinung nach kein Bergkäse, aber egal.	fq															
460	Der Lachs war gut, auf den Punkt gegrillt, daran gab es nicht auszusetzen!	('FOOD', 'POSITIVE', 'Lachs')															
461	Der Lachs war gut, auf den Punkt gegrillt, daran gab es nicht auszusetzen!	fq															
462	Der Leberkäse war eher ein Fleischkäse und hatte mit einem bayerischen Leberkäse nichts zu tun.	('FOOD', 'NEGATIVE', 'Leberkäse')															
463	Der Leberkäse war eher ein Fleischkäse und hatte mit einem bayerischen Leberkäse nichts zu tun.	fq															
464	Der Nachtisch ging gar nicht.	('FOOD', 'NEGATIVE', 'Nachtisch')															
465	Der Nachtisch ging gar nicht.	fq															
466	Der Personal ist sehr freundlich.	('SERVICE', 'POSITIVE', 'Personal')															
467	Der Personal ist sehr freundlich.	sg															
468	Der Preis stimmt, das Personal ist freundlich und aufmerksam, die Atmosphäre ist angenehm.	('PRICE', 'POSITIVE', 'Preis')	('SERVICE', 'POSITIVE', 'Personal')	('AMBIENCE', 'POSITIVE', 'Atmosphäre')													
469	Der Preis stimmt, das Personal ist freundlich und aufmerksam, die Atmosphäre ist angenehm.	rp	sg	ag													
470	Der Preis war mit etwas mehr als 50€ pro Person inkl. Wasser und einer halben Flasche Wein schon heftig.	('PRICE', 'NEGATIVE', 'Preis')															
471	Der Preis war mit etwas mehr als 50€ pro Person inkl. Wasser und einer halben Flasche Wein schon heftig.	rp															
472	Der Salat war fast Tiefgefroren und entsprechend im Geschmack und das Wienerschnitzel billigste TK Ware.	('FOOD', 'NEGATIVE', 'Salat')	('FOOD', 'NEGATIVE', 'Wienerschnitzel')														
473	Der Salat war fast Tiefgefroren und entsprechend im Geschmack und das Wienerschnitzel billigste TK Ware.	fq	fq														
474	Der Schweinsbraten war o. k., wir haben noch Knödel nachgeordert, da es für uns ein bisschen wenig war, das hat beim Personal zusätzlichen Stress ausgelöst, der Knödel kam dann aber zeitnah.	('FOOD', 'NEUTRAL', 'Schweinsbraten')	('SERVICE', 'POSITIVE', 'NULL')	('FOOD', 'NEGATIVE', 'Knödel')													
475	Der Schweinsbraten war o. k., wir haben noch Knödel nachgeordert, da es für uns ein bisschen wenig war, das hat beim Personal zusätzlichen Stress ausgelöst, der Knödel kam dann aber zeitnah.	fq	sg	fs													
476	Der Service ist eine Katastrophe!	('SERVICE', 'NEGATIVE', 'Service')															
477	Der Service ist eine Katastrophe!	sg															
478	Der Service ist gut und freundlich.	('SERVICE', 'POSITIVE', 'Service')															
479	Der Service ist gut und freundlich.	sg															
480	Der Service um und mit Herrn Zeyer ist eine Klasse für sich.	('SERVICE', 'POSITIVE', 'Service')	('SERVICE', 'POSITIVE', 'Herrn Zeyer')														
481	Der Service um und mit Herrn Zeyer ist eine Klasse für sich.	sg	sg														
482	Der Service verdient eine extra Erwähnung, weil er trotz vollem Restaurant und einer größeren Veranstaltung ruhig und kompetent gearbeitet hat.	('SERVICE', 'POSITIVE', 'Service')															
483	Der Service verdient eine extra Erwähnung, weil er trotz vollem Restaurant und einer größeren Veranstaltung ruhig und kompetent gearbeitet hat.	sg															
484	Der Service war auch erstklassig und das Personal war sehr freundlich.	('SERVICE', 'POSITIVE', 'Service')	('SERVICE', 'POSITIVE', 'Personal')														
485	Der Service war auch erstklassig und das Personal war sehr freundlich.	sg	sg														
486	Der Service war aufmerksam und zuvorkommend wie immer.	('SERVICE', 'POSITIVE', 'Service')															
487	Der Service war aufmerksam und zuvorkommend wie immer.	sg															
488	Der Service war herausragend gut, leidenschaftlich und engagiert.	('SERVICE', 'POSITIVE', 'Service')															
489	Der Service war herausragend gut, leidenschaftlich und engagiert.	sg															
490	Der Service war schnell und zuverlässig, obwohl das Restaurant komplett ausverkauft war.	('SERVICE', 'POSITIVE', 'Service')															
491	Der Service war schnell und zuverlässig, obwohl das Restaurant komplett ausverkauft war.	sg															
492	Der Service war schnell, freundlich und Aufmerksam.	('SERVICE', 'POSITIVE', 'Service')															
493	Der Service war schnell, freundlich und Aufmerksam.	sg															
494	Der Service war trotz des Trubels aufmerksam und sehr freundlich.	('SERVICE', 'POSITIVE', 'Service')															
495	Der Service war trotz des Trubels aufmerksam und sehr freundlich.	sg															
496	Der Service wirkte gestresst (kein Wunder), war aber freundlich jedoch auch recht unpersönlich, alles musste zackig bestellt werden, Fliessbandfeeling.	('SERVICE', 'NEGATIVE', 'Service')															
497	Der Service wirkte gestresst (kein Wunder), war aber freundlich jedoch auch recht unpersönlich, alles musste zackig bestellt werden, Fliessbandfeeling.	sg															
498	Der Typ sagte zu uns, dass er bestimmen würde, welcher Tisch frei ist und welcher nicht.	('SERVICE', 'NEGATIVE', 'Typ')															
499	Der Typ sagte zu uns, dass er bestimmen würde, welcher Tisch frei ist und welcher nicht.	sg															
500	Der Zander und das Kassler sind zu empfehlen.	('FOOD', 'POSITIVE', 'Zander')	('FOOD', 'POSITIVE', 'Kassler')														
501	Der Zander und das Kassler sind zu empfehlen.	sg	fq														
502	Der alternativ bestellte ofenfrische Leberkäs wurde mit scharfem Senf serviert - ein no go in LOC.	('FOOD', 'NEGATIVE', 'Leberkäs')	('FOOD', 'NEGATIVE', 'Senf')														
503	Der alternativ bestellte ofenfrische Leberkäs wurde mit scharfem Senf serviert - ein no go in LOC.	fq	fs														
504	Der angeblich selbst gemachte Kartoffelsalat war relativ trocken und geschmacklich zum Vergessen.	('FOOD', 'NEGATIVE', 'Kartoffelsalat')															
505	Der angeblich selbst gemachte Kartoffelsalat war relativ trocken und geschmacklich zum Vergessen.	fq															
506	Der junge Service ist äußerst freundlich, erklärt sehr angenehm und macht seinen Job gerne.	('SERVICE', 'POSITIVE', 'Service')															
507	Der junge Service ist äußerst freundlich, erklärt sehr angenehm und macht seinen Job gerne.	sg															
508	Der sogenannte Chef de Service wurde sehr laut und wiederholte sich ständig, dass wir ja schliesslich zu spät gekommen seien.	('SERVICE', 'NEGATIVE', 'Chef de Service')															
509	Der sogenannte Chef de Service wurde sehr laut und wiederholte sich ständig, dass wir ja schliesslich zu spät gekommen seien.	sg															
510	Der verbleibende Mitarbeiter, der sich dann alleine um alle besetzten Tische im Außenbereich gekümmert hat, war sehr bemüht, hatte aber keine Chance dies alleine zu bewältigen.	('SERVICE', 'POSITIVE', 'Mitarbeiter')															
511	Der verbleibende Mitarbeiter, der sich dann alleine um alle besetzten Tische im Außenbereich gekümmert hat, war sehr bemüht, hatte aber keine Chance dies alleine zu bewältigen.	sg															
512	Dicke Empfehlung!!!	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
513	Dicke Empfehlung!!!	rg															
514	Die Alioli mit Baguette, die es für jeden Tisch dazu gibt, ist top :) Im Innenraum wird jede Ecke genutzt - dadurch ist es etwas lauter.	('FOOD', 'POSITIVE', 'Alioli mit Baguette')	('AMBIENCE', 'NEGATIVE', 'Innenraum')														
515	Die Alioli mit Baguette, die es für jeden Tisch dazu gibt, ist top :) Im Innenraum wird jede Ecke genutzt - dadurch ist es etwas lauter.	fq	ag														
516	Die Auswahl der Kuchen & Torten war dementsprechend nicht mehr sehr groß.	('FOOD', 'NEGATIVE', 'Auswahl der Kuchen & Torten')															
517	Die Auswahl der Kuchen & Torten war dementsprechend nicht mehr sehr groß.	fs															
518	Die Baguettes billige zum Aufbacken und nicht ansatzweise knusprig, sondern völlig weich und teilweise sogar matschig.	('FOOD', 'NEGATIVE', 'Baguettes')															
519	Die Baguettes billige zum Aufbacken und nicht ansatzweise knusprig, sondern völlig weich und teilweise sogar matschig.	fq															
520	Die Bedienung Frau Marta war sehr freundlich und speditiv.	('SERVICE', 'POSITIVE', 'Marta')															
521	Die Bedienung Frau Marta war sehr freundlich und speditiv.	sg															
522	Die Bedienung hatte null Ahnung was welches Gericht war.	('SERVICE', 'NEGATIVE', 'Bedienung')															
523	Die Bedienung hatte null Ahnung was welches Gericht war.	sg															
524	Die Bedienung war freundlich, das war aber auch das einzig positive.	('SERVICE', 'POSITIVE', 'Bedienung')															
525	Die Bedienung war freundlich, das war aber auch das einzig positive.	sg															
526	Die Bedienung war nicht recht kommunikativ und gab uns eher das Gefühl eine Last zu sein.	('SERVICE', 'NEGATIVE', 'Bedienung')															
527	Die Bedienung war nicht recht kommunikativ und gab uns eher das Gefühl eine Last zu sein.	sg															
528	Die Bedienung war sehr nett und zuvor kommend.	('SERVICE', 'POSITIVE', 'Bedienung')															
529	Die Bedienung war sehr nett und zuvor kommend.	sg															
530	Die Bedienung war sehr unfreundlich.	('SERVICE', 'NEGATIVE', 'Bedienung')															
531	Die Bedienung war sehr unfreundlich.	sg															
532	Die Bedingung reagierte darauf mit einem Schulterstücken und sie essen den auch, also soll er uns schmecken.	('SERVICE', 'NEGATIVE', 'Bedingung')															
533	Die Bedingung reagierte darauf mit einem Schulterstücken und sie essen den auch, also soll er uns schmecken.	sg															
534	Die Bestellung wurde aufgegeben und kurze Zeit später wurde unser Essen bereits serviert, heiß, deftig und ein Genuss!	('FOOD', 'POSITIVE', 'Essen')															
535	Die Bestellung wurde aufgegeben und kurze Zeit später wurde unser Essen bereits serviert, heiß, deftig und ein Genuss!	fq															
536	Die Bratkartoffeln schmeckten teilweise alt.	('FOOD', 'NEGATIVE', 'Bratkartoffeln')															
537	Die Bratkartoffeln schmeckten teilweise alt.	fq															
538	Die Brez‘n Suppe ist der Hammer, das Gröstl eine Riesenportion Geschmack.	('FOOD', 'POSITIVE', 'Brez‘n Suppe')	('FOOD', 'POSITIVE', 'Gröstl')														
539	Die Brez‘n Suppe ist der Hammer, das Gröstl eine Riesenportion Geschmack.	fq	fq														
540	Die Burger könnten besser sein, da die Brötchen pappig sind.	('FOOD', 'NEGATIVE', 'Burger')	('FOOD', 'NEGATIVE', 'Brötchen')														
541	Die Burger könnten besser sein, da die Brötchen pappig sind.	fq	fq														
542	Die Burger waren sehr lecker mit guten Brötchen und perfekter Zubereitung.	('FOOD', 'POSITIVE', 'Burger')	('FOOD', 'POSITIVE', 'Brötchen')														
543	Die Burger waren sehr lecker mit guten Brötchen und perfekter Zubereitung.	fq	fq														
544	Die Chefin war sehr freundlich und es hat Spaß gemacht sich mit ihr zu unterhalten.	('SERVICE', 'POSITIVE', 'Chefin')															
545	Die Chefin war sehr freundlich und es hat Spaß gemacht sich mit ihr zu unterhalten.	sg															
546	Die Crew (alle im gleichen Outfit - alle sprechen italienisch mit den Gästen) soll den Kunden das Gefühl vermitteln wirklich in LOC zu sein…ähnlich kennen wir das aus LOC…hierfür würde ich für die schauspielerische Leistung glatt 3 Punkte vergeben.	('SERVICE', 'NEUTRAL', 'Crew')															
547	Die Crew (alle im gleichen Outfit - alle sprechen italienisch mit den Gästen) soll den Kunden das Gefühl vermitteln wirklich in LOC zu sein…ähnlich kennen wir das aus LOC…hierfür würde ich für die schauspielerische Leistung glatt 3 Punkte vergeben.	sg															
548	Die Currywurst war lecker, die Pommes ziemlich versalzen.	('FOOD', 'POSITIVE', 'Currywurst')	('FOOD', 'NEGATIVE', 'Pommes')														
549	Die Currywurst war lecker, die Pommes ziemlich versalzen.	fq	fq														
550	Die Desserts waren mir nicht möglich zu essen, sahen dafür umso besser aus - bei diesen hätte ich sehr gerne zugeschlagen!	('FOOD', 'POSITIVE', 'Desserts')															
551	Die Desserts waren mir nicht möglich zu essen, sahen dafür umso besser aus - bei diesen hätte ich sehr gerne zugeschlagen!	fq															
552	Die Erfahrung hat uns sehr gefallen!	('GENERAL-IMPRESSION', 'POSITIVE', 'Erfahrung')															
553	Die Erfahrung hat uns sehr gefallen!	rg															
554	Die Gamba Carabinero ist optisch und geschmacklich ein Gedicht.	('FOOD', 'POSITIVE', 'Gamba Carabinero')	('FOOD', 'POSITIVE', 'Gamba Carabinero')														
555	Die Gamba Carabinero ist optisch und geschmacklich ein Gedicht.	fq	fs														
556	Die Gaststätte ist sehr gemütlich und hat den Charme, den man sich bei Oma vorstellt.	('AMBIENCE', 'POSITIVE', 'Gaststätte')	('AMBIENCE', 'POSITIVE', 'Charme')														
557	Die Gaststätte ist sehr gemütlich und hat den Charme, den man sich bei Oma vorstellt.	ag	ag														
558	Die Gerichte zart, aber herzhaft gewürzt rundeten den Abend ab.	('FOOD', 'POSITIVE', 'Gerichte')															
559	Die Gerichte zart, aber herzhaft gewürzt rundeten den Abend ab.	fq															
560	Die Haxe war extrem fett und der Knödel poppig und geschmacklos.	('FOOD', 'NEGATIVE', 'Knödel')	('FOOD', 'NEGATIVE', 'Haxe')														
561	Die Haxe war extrem fett und der Knödel poppig und geschmacklos.	fq	fq														
562	Die Kellnerin hat einen genervten Eindruck gemacht.	('SERVICE', 'NEGATIVE', 'Kellnerin')															
563	Die Kellnerin hat einen genervten Eindruck gemacht.	sg															
564	Die Kellnerin hätte uns ja zumindest fragen können, ob es uns etwas ausmacht, wobei für 5 Leute an diesen kleinen Tischen kein Platz gewesen wäre.	('SERVICE', 'NEGATIVE', 'Kellnerin')															
565	Die Kellnerin hätte uns ja zumindest fragen können, ob es uns etwas ausmacht, wobei für 5 Leute an diesen kleinen Tischen kein Platz gewesen wäre.	sg															
566	Die Kellnerin, eine ältere, stattliche Frau, war stets bemüht, keine Freundlichkeit aufkommen zu lassen.	('SERVICE', 'NEGATIVE', 'Kellnerin')															
567	Die Kellnerin, eine ältere, stattliche Frau, war stets bemüht, keine Freundlichkeit aufkommen zu lassen.	sg															
568	Die Klimaanlage hatte wohl Pause.	('AMBIENCE', 'NEGATIVE', 'Klimaanlage')															
569	Die Klimaanlage hatte wohl Pause.	ag															
570	Die Käsespätzle haben leider keinen Käse gesehen.	('FOOD', 'NEGATIVE', 'Käsespätzle')															
571	Die Käsespätzle haben leider keinen Käse gesehen.	fq															
572	Die LOC hat gut geklappt und ist am Wochenende auch zu empfehlen.	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
573	Die LOC hat gut geklappt und ist am Wochenende auch zu empfehlen.	rg															
574	Die LOC war hart, das Fett darunter fest und das Fleisch zäh, trocken und ging nur schwer zu schneiden.	('FOOD', 'NEGATIVE', 'LOC')	('FOOD', 'NEGATIVE', 'Fleisch')	('FOOD', 'NEGATIVE', 'Fett')													
575	Die LOC war hart, das Fett darunter fest und das Fleisch zäh, trocken und ging nur schwer zu schneiden.	fq	fq	fq													
576	Die Location kann leider nicht die miese Bedienung und das mehrheitlich unfreundliche Personal raus reissen.	('SERVICE', 'NEGATIVE', 'Bedienung')	('SERVICE', 'NEGATIVE', 'Personal')														
577	Die Location kann leider nicht die miese Bedienung und das mehrheitlich unfreundliche Personal raus reissen.	sg	sg														
578	Die Location spannend, das Personal grundsätzlich freundlich, das Frühstück allerdings qualitativ durchschnittlich.	('SERVICE', 'POSITIVE', 'Personal')	('FOOD', 'NEUTRAL', 'Frühstück')	('AMBIENCE', 'POSITIVE', 'Location')													
579	Die Location spannend, das Personal grundsätzlich freundlich, das Frühstück allerdings qualitativ durchschnittlich.	sg	fq	ag													
580	Die Location...trotz Reservierung Wochen im Voraus wurden wir im "Nebenzimmer" mit null Ambiente plaziert.	('AMBIENCE', 'NEGATIVE', 'Ambiente')															
581	Die Location...trotz Reservierung Wochen im Voraus wurden wir im "Nebenzimmer" mit null Ambiente plaziert.	ag															
582	Die Milzwurst war hart und die Panier klebte als dünne Schicht am Produkt.	('FOOD', 'NEGATIVE', 'Milzwurst')	('FOOD', 'NEGATIVE', 'Panier')														
583	Die Milzwurst war hart und die Panier klebte als dünne Schicht am Produkt.	fq	fq														
584	Die Panna Cotta zum Nachtisch war der absolute Wahnsinn.	('FOOD', 'POSITIVE', 'Panna Cotta')															
585	Die Panna Cotta zum Nachtisch war der absolute Wahnsinn.	fq															
586	Die Pfeffersoße eine Frechheit was den Geschmack angeht.	('FOOD', 'NEGATIVE', 'Pfeffersoße')															
587	Die Pfeffersoße eine Frechheit was den Geschmack angeht.	fq															
588	Die Portionsgrößen sind tendenziell großzügig.	('FOOD', 'POSITIVE', 'Portionsgrößen')															
589	Die Portionsgrößen sind tendenziell großzügig.	fs															
590	Die Preise sind an der Obergrenze, vor allem bei den Getränken.	('PRICE', 'NEGATIVE', 'Getränken')	('PRICE', 'NEGATIVE', 'Preise')														
591	Die Preise sind an der Obergrenze, vor allem bei den Getränken.	dp	rp														
592	Die Preise sind sehr gehoben, daher wird eher kein regelmäßiger Besuch resultieren.	('PRICE', 'NEGATIVE', 'Preise')															
593	Die Preise sind sehr gehoben, daher wird eher kein regelmäßiger Besuch resultieren.	rp															
594	Die Preise sind unangemessen hoch, da lässt sich wohl der Chef seinen Namen bezahlen.	('PRICE', 'NEGATIVE', 'Preise')															
595	Die Preise sind unangemessen hoch, da lässt sich wohl der Chef seinen Namen bezahlen.	rp															
596	Die Preise waren echt fair!	('PRICE', 'POSITIVE', 'Preise')															
597	Die Preise waren echt fair!	rp															
598	Die Qualität der Speisen ist auch nicht so toll, die Ofenkartoffel hat wohl auch schon ein paar Tage gelegen.	('FOOD', 'NEGATIVE', 'Speisen')	('FOOD', 'NEGATIVE', 'Ofenkartoffel')														
599	Die Qualität der Speisen ist auch nicht so toll, die Ofenkartoffel hat wohl auch schon ein paar Tage gelegen.	fq	fq														
600	Die Qualität des Essens war ausgezeichnet.	('FOOD', 'POSITIVE', 'Essens')															
601	Die Qualität des Essens war ausgezeichnet.	fq															
602	Die Qualität des Fleisches ist ausgezeichnet, und die Steaks werden auf den Punkt genau zubereitet.	('FOOD', 'POSITIVE', 'Fleisches')	('FOOD', 'POSITIVE', 'Steaks')														
603	Die Qualität des Fleisches ist ausgezeichnet, und die Steaks werden auf den Punkt genau zubereitet.	fq	fq														
604	Die Qualität hat massiv abgenommen, wir werden nicht mehr kommen.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
605	Die Qualität hat massiv abgenommen, wir werden nicht mehr kommen.	rg															
606	Die Rechnung kam dagegen sehr schnell	('SERVICE', 'POSITIVE', 'NULL')															
607	Die Rechnung kam dagegen sehr schnell	sg															
608	Die Sauce und das Gemüse waren in Ordnung.	('FOOD', 'NEUTRAL', 'Sauce')	('FOOD', 'NEUTRAL', 'Gemüse')														
609	Die Sauce und das Gemüse waren in Ordnung.	fq	fq														
610	Die Speisen sind solid und lecker, der Service professionell und das Ambiente stimmig.	('FOOD', 'POSITIVE', 'Speisen')	('SERVICE', 'POSITIVE', 'Service')	('AMBIENCE', 'POSITIVE', 'Ambiente')													
611	Die Speisen sind solid und lecker, der Service professionell und das Ambiente stimmig.	fq	sg	ag													
612	Die Speisen sind türkische Standard Küche etwas über dem Durchschnitt.	('FOOD', 'POSITIVE', 'Speisen')															
613	Die Speisen sind türkische Standard Küche etwas über dem Durchschnitt.	fq															
614	Die Speisen waren ausreichend, das Salatbuffet gut.	('FOOD', 'NEUTRAL', 'Speisen')	('FOOD', 'POSITIVE', 'Salatbuffet')														
615	Die Speisen waren ausreichend, das Salatbuffet gut.	fs	fq														
616	Die Steaks und Burger sahen MEGA aus.	('FOOD', 'POSITIVE', 'Steaks')	('FOOD', 'POSITIVE', 'Burger')														
617	Die Steaks und Burger sahen MEGA aus.	fq	fq														
618	Die Steaks waren ausnahmslos zu schwach angebraten, so dass jedes eine breiten hellbraunen LOC, aber ohne die nötigen Röstaromen hatte.	('FOOD', 'NEGATIVE', 'Steaks')															
619	Die Steaks waren ausnahmslos zu schwach angebraten, so dass jedes eine breiten hellbraunen LOC, aber ohne die nötigen Röstaromen hatte.	fq															
620	Die Sushi schmeckt nur noch durchschnittlich.	('FOOD', 'NEUTRAL', 'Sushi')															
621	Die Sushi schmeckt nur noch durchschnittlich.	fq															
622	Die Tapas waren grandios, die Mitarbeiter/innen waren sehr aufmerksam..wir kommen bald wieder …	('FOOD', 'POSITIVE', 'Tapas')	('SERVICE', 'POSITIVE', 'Mitarbeiter/innen')														
623	Die Tapas waren grandios, die Mitarbeiter/innen waren sehr aufmerksam..wir kommen bald wieder …	fq	sg														
624	Die Tappas dagegen waren absolut unterirdisch und gelinde gesagt eine Frechheit.	('FOOD', 'NEGATIVE', 'Tappas')															
625	Die Tappas dagegen waren absolut unterirdisch und gelinde gesagt eine Frechheit.	fq															
626	Die Toiletten waren sehr sauber.	('AMBIENCE', 'POSITIVE', 'Toiletten')															
627	Die Toiletten waren sehr sauber.	rm															
628	Die Vorspeise (rote Bete) war sehr lecker.	('FOOD', 'POSITIVE', 'Vorspeise (rote Bete')															
629	Die Vorspeise (rote Bete) war sehr lecker.	fq															
630	Die Vorspeise war ein Genuss und ein toller Querschnitt der guten Küche.	('FOOD', 'POSITIVE', 'Vorspeise')	('FOOD', 'POSITIVE', 'Küche')														
631	Die Vorspeise war ein Genuss und ein toller Querschnitt der guten Küche.	fq	fq														
632	Die Vorspeise war per sè schön angerichtet und hat auch geschmeckt.... bekamen was anderes als Burrata wegen laktose, danach ging leider der Tiefflug, angehend von der Karte, in einen Sturzflug über.	('FOOD', 'POSITIVE', 'Vorspeise')	('FOOD', 'NEGATIVE', 'NULL')	('FOOD', 'POSITIVE', 'Vorspeise')	('FOOD', 'POSITIVE', 'Karte')												
633	Die Vorspeise war per sè schön angerichtet und hat auch geschmeckt.... bekamen was anderes als Burrata wegen laktose, danach ging leider der Tiefflug, angehend von der Karte, in einen Sturzflug über.	fq	fq	fs	fs												
634	Die Vorspeisen sind normalerweise sehr zu empfehlen,aber hier stimmt das Preis-Leistungsverhältnis überhaupt nicht mehr.	('FOOD', 'POSITIVE', 'Vorspeisen')	('PRICE', 'NEGATIVE', 'Vorspeisen')														
635	Die Vorspeisen sind normalerweise sehr zu empfehlen,aber hier stimmt das Preis-Leistungsverhältnis überhaupt nicht mehr.	fq	fp														
